"Country","Code","Year","Continent","High.systolic.blood.pressure","Alcohol.use","Low.birth.weight","Unsafe.sex","Low.physical.activity","High.fasting.plasma.glucose","High.body.mass.index","Drug.use","Low.bone.mineral.density","Vitamin.A.deficiency","Iron.deficiency","Breastfeeding","Child.growth","Tobacco","Dietary","Unsafe.water","Air.pollution","Death_Rate_Cat","rgroup"
"Andorra","AND","2017","Europe",-1.75835091269524,-1.33444349575175,-2.39654663292444,-1.68672610698093,-1.48806983949667,-1.91927284890193,-1.77876503772814,-1.2924944226039,-1.11890306914331,-0.826869791933753,-1.14054521995613,-1.33909715299616,-1.86222907859162,-1.51446299999801,-1.90409573271122,-1.8511806368055,-2.09741128210405,"0",0.907249534502625
"Angola","AGO","2003","Africa",0.314576551275397,0.785154405474221,1.18728214741458,1.07050543846207,0.0381682866690102,0.271999876608785,-0.070329989537909,0.191532140222004,0.442932525878844,1.92599464643911,1.341764044618,1.55394044760324,1.45930596442138,0.287643072537607,0.255106235318734,1.47648991367549,0.783438556872444,"1",0.968280305620283
"Angola","AGO","2010","Africa",0.392920475785181,0.947959735822342,1.17720906062103,1.23194748774442,0.160083022525994,0.399336769365238,0.147718963078391,0.369718031722081,0.534896619900045,1.65730564953287,1.36562031348175,1.41623976756527,1.33629624758347,0.320183184225406,0.276206271939255,1.39662258433726,0.733442438664912,"0",0.992823982145637
"Antigua and Barbuda","ATG","1993","Americas",-1.72384141901125,-1.78277563793444,-1.52399073699289,-1.44965308175144,-1.39510412915181,-1.62097069234893,-1.85166163425392,-1.8275546384012,-1.76834813080255,-0.826869791933753,-1.14054521995613,-1.33909715299616,-1.3035983528783,-2.00265677192783,-1.71495717400724,-1.257286370837,-1.8106230555054,"0",0.962077040690929
"Antigua and Barbuda","ATG","2002","Americas",-1.76741866486892,-1.6732999211406,-1.55867259331662,-1.32834467741413,-1.4239997553187,-1.63554797140598,-1.80477716382891,-1.8275546384012,-1.76834813080255,-0.826869791933753,-1.14054521995613,-1.33909715299616,-1.36044215659983,-2.04116742744273,-1.75733698558498,-1.3599781277426,-1.86907246464531,"0",0.98031768691726
"Antigua and Barbuda","ATG","2007","Americas",-1.70357191437742,-1.5499422705613,-1.63987097739413,-1.41562102119536,-1.36796086064118,-1.56261304008171,-1.70129181190944,-1.8275546384012,-1.76834813080255,-0.826869791933753,-1.14054521995613,-1.33909715299616,-1.36044215659983,-1.94527190879118,-1.70695384918963,-1.42808182496505,-1.83876437122074,"0",0.995932349935174
"Antigua and Barbuda","ATG","2015","Americas",-1.6656371682974,-1.48450811828306,-1.74455390133962,-1.35532930473088,-1.34236950636935,-1.52612221845793,-1.59923561778658,-1.8275546384012,-1.76834813080255,-0.826869791933753,-1.14054521995613,-1.33909715299616,-1.43001334969228,-1.93466030528631,-1.72311010231279,-1.42808182496505,-1.78435926828164,"0",0.972384937806055
"Argentina","ARG","2015","Americas",1.03978121155101,1.19689438291717,0.531930283878493,0.902356048962407,0.403642140140338,1.07613031425301,1.19023859554653,1.26373019253118,0.991150687036691,-0.443803753039333,0.442512350451255,0.177613756362268,0.432685805047305,1.17341883992808,1.000609398799,0.358237030874761,0.628052048711556,"0",0.970449417363852
"Armenia","ARM","1991","Asia",0.0672242285651437,-0.292572854594651,0.114519340412001,-0.383427738434814,-0.00736186853640528,-0.166085007658635,-0.0443756470116721,-0.748805547428212,-0.247424954803881,-0.585182030412502,-0.576648735771257,0.435271032125196,0.19461412741595,0.179539137329915,0.255635352607382,0.0207402894543864,0.058100790201495,"1",0.918493896024302
"Armenia","ARM","1998","Asia",0.106988164718387,-0.290136492120048,-0.105799606427628,-0.337360206341683,0.0358839612564892,0.0838214941857706,0.0759870594505332,-0.732054219546352,-0.399316208037043,-0.826869791933753,-0.693667829095368,0.129906726757743,-0.0687049571143895,0.189300540488129,0.268145337975567,-0.256276069177378,0.0757603234578338,"1",0.992766846437007
