"Country","Code","Year","Continent","High.systolic.blood.pressure","Alcohol.use","Low.birth.weight","Unsafe.sex","Low.physical.activity","High.fasting.plasma.glucose","High.body.mass.index","Drug.use","Low.bone.mineral.density","Vitamin.A.deficiency","Iron.deficiency","Breastfeeding","Child.growth","Tobacco","Dietary","Unsafe.water","Air.pollution","Death_Rate_Cat","rgroup"
"Sao Tome and Principe","STP","2017","Africa",-1.46030852556271,-1.14526432741437,-1.02790581947603,-1.27939062326891,-1.70544470490494,-1.64552696289926,-1.5401805168874,-1.8275546384012,-1.33393592895899,-0.826869791933753,-0.858596977863694,-1.10928943498154,-0.871382623978964,-1.8580584653552,-1.61440990847189,-0.725329909981931,-1.17680893486726,"1",0.224258653121069
"Saudi Arabia","SAU","2010","Asia",0.663441787735745,-0.253751827457838,0.367293818002891,-0.00596340409163321,1.12028499546575,0.72548878973194,0.966325075955975,0.492276814074438,1.06141282739561,-0.826869791933753,0.349664644403548,-0.222695626347486,-0.169479945161353,0.520701757484885,0.654781462871255,0.0343358073066422,0.654753585122396,"0",0.629996886942536
"Saudi Arabia","SAU","2013","Asia",0.6708819276081,-0.223773739993594,0.251779290267538,0.0454868497530863,1.13112734041698,0.74775057028559,0.998133941120926,0.544137236710955,1.09804510750315,-0.826869791933753,0.31710604595027,-0.314285349074867,-0.239735612171621,0.544624876394275,0.661540649899961,-0.000505636599303828,0.669921605593022,"0",0.30422344407998
"Senegal","SEN","1993","Africa",0.0361962854853041,-0.147996186583183,0.94457797051836,0.308737816945391,-0.0902550994505375,-0.00661481692335919,-0.160553672341393,-0.60509687143456,0.109084746204194,1.63409030626721,1.2831353704818,1.19757401460995,1.15403004063162,0.00662856723885449,-0.050678050041423,1.25413832383101,0.5263151973567,"1",0.28448485257104
"Senegal","SEN","2011","Africa",0.267897525399685,-0.0965151713304988,0.958065548748463,0.691865520735024,0.169527274718294,0.333017634198527,0.178451353203031,-0.165342184075219,0.344602319698093,1.02574808719917,1.35518986171454,0.925985505518349,0.874609549893865,0.0588322116100431,0.136949182462918,1.04816921158474,0.560883696298466,"1",0.671739803627133
"Serbia","SRB","2004","Europe",0.910217582731092,0.719177021478719,-0.069412801534001,0.233761305618899,0.74322445367011,0.91374848674712,0.93921699940744,0.614211403987104,0.385220255344467,-0.826869791933753,-0.693667829095368,-0.488707545719482,-0.601695674060687,0.896110222126342,0.975714373719613,-0.78404205762775,0.710543950025886,"1",0.67763990489766
"Serbia","SRB","2013","Europe",0.876742161117683,0.659205941078898,-0.381598892195009,0.195424883556638,0.805040014930969,0.939501925514964,0.919186936045984,0.590376926828043,0.403117760410651,-0.826869791933753,-0.858596977863694,-0.74505281955206,-0.823321872734153,0.871329774934676,0.918497618491679,-0.749123872137586,0.632057735381616,"1",0.840881676413119
"Seychelles","SYC","2005","Africa",-1.55109665462516,-1.26707618257582,-1.55867259331662,-1.41562102119536,-1.70544470490494,-1.6505981086802,-1.730746873927,-1.35833281189851,-1.64093288279587,-0.826869791933753,-1.14054521995613,-1.33909715299616,-1.43001334969228,-1.53879486248556,-1.59557954696188,-1.21653241904483,-1.79727225644842,"0",0.332766796927899
"Singapore","SGP","1995","Asia",-0.247606342035045,-0.608511009641966,-0.825481477654298,-0.463209990731672,-0.141663684594608,-0.261839188709687,-0.489794303934379,-0.44430175250657,-0.504909161469559,-0.826869791933753,-1.14054521995613,-0.693945324700984,-0.898510834828589,-0.0979373485319122,-0.167467597444309,-0.676110665101999,-0.387504865223697,"0",0.655274022370577
"Singapore","SGP","2005","Asia",-0.327439143831657,-0.703567933102559,-1.10281210317533,-0.518302426293942,-0.105695485039071,-0.212414804221351,-0.383178942351943,-0.262832393043665,-0.399316208037043,-0.826869791933753,-0.858596977863694,-0.974860537566683,-1.14433429215016,-0.159008182936783,-0.214819816750054,-0.682674386438091,-0.453492261537139,"0",0.387029707897455
"Slovakia","SVK","1992","Europe",0.52016670813608,0.509483819199139,-0.191728212180551,-0.265705488439487,0.418501694561036,0.260863871861243,0.524928332190229,0.308215762031096,0.442932525878844,-0.826869791933753,-0.858596977863694,-0.441263540686576,-0.43273826022569,0.514708740440807,0.712639715898942,-0.73305693735576,0.276183337658365,"1",0.100504568545148
